F1D8Q5	P22829
O95407	P48023
Q9UNG2	Q9Y5U5
P40933	Q13261
Q13478	Q14116
O00585	Q9NPB9
Q6IBD6	Q9NPB9
O70460	Q9NPB9
P51670	Q9NPB9
O95256	Q14116
Q16552	Q96F46
O43927	Q9NPB9
O14836	O75888
P36941	Q9QYH9
P42684	Q15642
P18848	P35638
P35638	Q16520
A0A024R7I0	P35638
B4DYR6	P43355
B4DYR6	P43357
B4DYR6	P31350
B4DYR6	Q8WXD2
A0A0S2Z5S4	O43679
A0A024RAT1	O43679
O43679	P61968
O43679	Q5U651
O43679	Q96NA2
O43679	P81877
O43679	Q9BWW4
A0A024R3V8	O43679
P47712	Q96GS4
D3DPU2	P47712
A0A024R539	P47712
Q15019	Q99719
Q14141	Q99719
Q548C9	Q99719
Q16181	Q99719
Q99719	Q9NVA2
B4DHQ6	Q13137
B4DHQ6	P28676
B4DHQ6	P40763
Q96EK4	Q9BUW7
Q96CN5	Q96EK4
O15212	Q96EK4
P62195	Q96EK4
O15524	P04591
Q04206	Q8VIM5
P47712	Q04206
P12955	Q6U8A4
P0C6L3	Q9HCE1
P51149	Q96NA2
Q02840	Q5XG91
A0A024R1P2	Q02840
A8K5I0	Q7Z7A3
B3KWD0	P04618
B1ATV3	P05129
P17542	P81877
P02511	P04792
O60563	P04608
A0A024R880	P04608
O94992	P04608
P88987	Q5JSZ5
P89884	Q9H074
A0A096MIT1	P55854
A0A024QZJ2	A0A096MIT1
A0A096MIT1	B4E127
A0A096MIT1	P27695
O35696	Q9BY67
Q64690	Q9BY67
O95150	O95407
A0A024RD88	O43915
P42262	Q9EP80
P21675	Q62311
P06400	P29375
P09086	P20226
P22681	P46108
P06213	P27986
P04049	P31946
P15172	Q08999
P17095	P17947
P17947	Q08945
P04637	Q9DH70
P25490	Q09472
P36956	Q92793
P15923	Q04650
P15172	P15923
P15884	Q02535
P25490	P32561
P00519	Q13315
P20338	P39958
P35439	P35609
P02593	P35609
P31314	Q15172
Q15172	Q94818
P08571	P18428
P04273	P10809
P10415	Q07812
P19438	Q15628
P19438	P39429
P08138	Q91407
P20783	Q91407
P01112	P20936
P52583	P62993
P01584	P29466
P01579	P70380
P29466	P70380
P42574	P70380
P01350	P32239
P01350	P35570
P43405	Q15349
P42574	P79802
P08253	Q13753
P10242	P38531
P06730	Q62622
P15257	P41235
P36956	Q60431
Q12772	Q60431
P09874	P42574
P04637	Q00987
P14859	Q64693
P09086	Q64693
P20071	P42345
P00587	Q99075
P02304	Q16514
P02304	Q16594
P06899	Q62311
Q16695	Q62311
P20226	P46677
P20226	P21675
P02549	P11277
Q16594	Q62311
Q16514	Q62311
P20226	Q62311
P29083	Q62311
P49848	Q16594
Q00403	Q16594
P20226	Q15572
P08047	Q00403
P25490	Q00403
P04637	Q27272
P04637	Q16594
P04637	P49848
P08047	P47825
P08047	P25490
