P36872	FBgn0004889
O46227	FBgn0267327
Q9V3R1	FBgn0011559
P05623	FBgn0003034
P09087	FBgn0000015
P81928	FBgn0010340
P92177	FBgn0020238
P36179	FBgn0260439
Q9V8M5	FBgn0034390
P28286	FBgn0263116
O46197	FBgn0015583
O46341	FBgn0023130
Q10714	FBgn0012037
Q9V8R9	FBgn0010434
P13368	FBgn0003366
P29555	FBgn0000014
P42281	FBgn0010387
P07140	FBgn0000024
P16395	FBgn0000037
Q7KML2	FBgn0027572
P32234	FBgn0010339
P29310	FBgn0004907
Q9V785	FBgn0033988
P28285	FBgn0004168
P41572	FBgn0004654
Q9VVW1	FBgn0015586
P16548	FBgn0002863
Q9VSA3	FBgn0035811
Q9VLJ6	FBgn0016122
P16375	FBgn0003651
O46203	FBgn0023415
O46200	FBgn0015585
Q9VP61	FBgn0012034
P10987	FBgn0000042
P53501	FBgn0000044
P20905	FBgn0004573
Q9W197	FBgn0034988
P27091	FBgn0024234
P16376	FBgn0003651
P14599	FBgn0000108
O46202	FBgn0020509
O46201	FBgn0263597
Q9VM95	FBgn0031851
Q9VIP7	FBgn0045064
P25162	FBgn0004118
P02572	FBgn0000043
P10981	FBgn0000046
Q9NII1	FBgn0026086
Q9VW60	FBgn0004852
Q9VCY8	FBgn0038984
P16909	FBgn0086915
O46199	FBgn0015584
P91927	FBgn0019886
P00522	FBgn0000017
Q24174	FBgn0264442
Q9VHH7	FBgn0037661
P91615	FBgn0000056
P46415	FBgn0011768
Q9VZ64	FBgn0030239
P18487	FBgn0002036
Q24093	FBgn0014906
P09478	FBgn0000036
P17644	FBgn0000039
P02574	FBgn0000045
P83967	FBgn0000047
Q9V3R6	FBgn0028658
P05552	FBgn0000054
P00334	FBgn0000055
Q7PLK0	FBgn0250816
P04755	FBgn0000038
Q94519	FBgn0011361
Q9VLL0	FBgn0027780
P18091	FBgn0000667
Q26365	FBgn0003360
Q9VUQ5	FBgn0087035
Q9VY77	FBgn0030530
Q9VF36	FBgn0038363
P37193	FBgn0011769
Q9VQI9	FBgn0041111
Q8INB9	FBgn0010379
A1ZBR5	FBgn0034483
P45891	FBgn0011743
P45889	FBgn0011745
P39413	FBgn0005694
Q9VQ79	FBgn0031392
Q7K4V4	FBgn0011241
Q9U4H5	FBgn0000077
O18408	FBgn0020506
P21663	FBgn0000094
Q7K2G1	FBgn0033886
Q9V3T9	FBgn0015582
Q9W1V1	FBgn0034817
P56544	FBgn0025115
Q9VAC5	FBgn0039734
Q9V778	FBgn0033983
Q9VU95	FBgn0036381
P07764	FBgn0000064
Q9VLQ1	FBgn0261020
Q9W3V8	FBgn0029906
P15364	FBgn0000071
Q26307	FBgn0011746
Q24239	FBgn0016762
Q9VCA8	FBgn0043884
Q9VKX7	FBgn0032234
Q9VC44	FBgn0015591
P08144	FBgn0000079
P81641	FBgn0000078
Q9VXG4	FBgn0030749
P91926	FBgn0264855
Q9VQG2	FBgn0031458
A8JR14	FBgn0026737
P29673	FBgn0267978
Q9VUR3	FBgn0036515
P61855	FBgn0004552
Q9VS59	FBgn0082598
Q8T8L8	FBgn0052076
Q06453	FBgn0000061
Q24049	FBgn0086782
Q9Y0A7	FBgn0003270
Q9V895	FBgn0034282
Q9VTU1	FBgn0036255
Q24238	FBgn0016123
P12426	FBgn0000109
Q9VH78	FBgn0037743
P02833	FBgn0260642
P22464	FBgn0000083
Q9V831	FBgn0034231
Q9V431	FBgn0027885
A1Z9X0	FBgn0261854
Q9V496	FBgn0087002
Q9VES1	FBgn0038453
P61209	FBgn0010348
Q9XZ63	FBgn0027095
Q9V4P1	FBgn0261385
P22465	FBgn0000084
Q9V5Z7	FBgn0015872
Q9U6Y9	FBgn0015925
Q8MSG8	FBgn0038704
Q9VD92	FBgn0038893
O76924	FBgn0025186
O15945	FBgn0264075
Q9W549	FBgn0029594
Q94981	FBgn0017418
P25160	FBgn0000115
Q9VHV5	FBgn0037551
Q6J5K9	FBgn0041164
P18824	FBgn0000117
P45888	FBgn0011742
P32392	FBgn0262716
Q9VIM5	FBgn0032859
Q9V464	FBgn0029094
P40945	FBgn0013749
P40946	FBgn0013750
Q7K486	FBgn0034315
Q9VX09	FBgn0030877
P10084	FBgn0004170
P54362	FBgn0001087
Q24248	FBgn0015904
Q8MR45	FBgn0033431
Q8SWX0	FBgn0036826
Q9V727	FBgn0261823
Q9VSY4	FBgn0035989
Q06849	FBgn0004908
P10083	FBgn0000022
Q9VPW1	FBgn0015905
Q9VEX5	FBgn0020407
P22700	FBgn0263006
P13607	FBgn0002921
Q9VEC3	FBgn0038576
P19107	FBgn0000121
Q94545	FBgn0000139
P09774	FBgn0002561
Q94516	FBgn0019644
Q24046	FBgn0015776
P45890	FBgn0011741
P15372	FBgn0000120
Q9VW15	FBgn0005386
Q9VRJ8	FBgn0035592
O96539	FBgn0025720
Q24407	FBgn0016119
P00850	FBgn0013672
Q7JWD3	FBgn0033191
Q9W2C3	FBgn0034665
O97069	FBgn0026565
P09775	FBgn0000137
P48987	FBgn0010433
Q9VXT7	FBgn0030653
Q5LJP9	FBgn0032997
Q9VHR6	FBgn0261108
Q9W3R7	FBgn0029943
Q5EAK6	FBgn0045035
Q24251	FBgn0016120
Q9VC45	FBgn0000140
Q9W5X9	FBgn0031082
P84345	FBgn0013673
P35381	FBgn0011211
O01666	FBgn0020235
Q86P48	FBgn0039946
Q05825	FBgn0010217
Q8ML92	FBgn0050476
Q9V407	FBgn0026597
Q9VLA1	FBgn0032135
O97422	FBgn0066114
Q9W0K4	FBgn0025525
P22809	FBgn0004862
A1Z8E9	FBgn0033578
P09081	FBgn0000166
Q9VC57	FBgn0039213
Q24048	FBgn0015777
Q9W141	FBgn0035032
Q9VVN4	FBgn0002901
Q9VXG8	FBgn0004367
Q95NH6	FBgn0041579
Q8SWR8	FBgn0041188
Q9W0K7	FBgn0004870
P22745	FBgn0000158
Q9VYG2	FBgn0025463
P45884	FBgn0012042
Q9VKN7	FBgn0024227
Q9VLU0	FBgn0031977
Q961D9	FBgn0039907
Q9NHB0	FBgn0040323
Q24040	FBgn0013753
Q9V751	FBgn0041581
Q8IRC7	FBgn0013751
M9NDE3	FBgn0031571
Q8SY41	FBgn0266019
Q9VFR0	FBgn0038183
Q9NHA8	FBgn0040321
Q9VSH3	FBgn0035871
A1Z9S1	FBgn0050077
Q9VGI8	FBgn0002906
Q9VNH1	FBgn0037368
Q9VZA4	FBgn0260657
Q24256	FBgn0004854
Q9VVR4	FBgn0040322
Q9W1I2	FBgn0004581
Q8SWR2	FBgn0052137
Q9W138	FBgn0035035
Q24206	FBgn0283451
Q9W157	FBgn0050169
Q24266	FBgn0000233
Q24439	FBgn0016691
Q9GQN5	FBgn0039338
Q94546	FBgn0019637
O76922	FBgn0000146
Q24255	FBgn0011758
O46098	FBgn0013432
Q9VCE1	FBgn0264325
Q9V3U0	FBgn0028519
Q9VTE0	FBgn0036118
Q9VTC2	FBgn0036105
Q9VZD2	FBgn0035537
P29746	FBgn0001090
Q9V3X4	FBgn0040336
Q24522	FBgn0259176
P39736	FBgn0004856
Q9VYT8	FBgn0030339
Q9VKJ9	FBgn0261983
Q9VMS9	FBgn0031693
Q9VLZ7	FBgn0031925
Q9V770	FBgn0015714
