CC_ID	OS(MM)	OS(HS)	OS(DM)
0	0.117647	0.186275	0.156863
1	0.0625	0.197917	0.125
2	0.252632	0.831579	0.652632
3	0.268817	0.903226	0.774194
4	0.266667	0.9	0.722222
5	0.258427	0.910112	0.741573
6	0.264368	0.91954	0.712644
7	0.27907	0.848837	0.813953
8	0.270588	0.952941	0.729412
9	0.282353	0.952941	0.764706
10	0.297619	0.928571	0.809524
11	0.261905	0.928571	0.797619
12	0.285714	0.940476	0.77381
13	0.289157	0.927711	0.759036
14	0.280488	0.95122	0.792683
15	0.2875	0.8875	0.8375
16	0.2875	0.95	0.7375
17	0.3	0.925	0.8
18	0.278481	0.936709	0.810127
19	0.303797	0.924051	0.822785
20	0.303797	0.949367	0.797468
21	0.0769231	0.269231	0.153846
22	0.294872	0.923077	0.782051
23	0.294872	0.923077	0.820513
24	0.269231	0.935897	0.820513
25	0.298701	0.883117	0.844156
26	0.272727	0.948052	0.818182
27	0.328947	0.894737	0.828947
28	0.144737	0.289474	0.197368
29	0.302632	0.921053	0.855263
30	0.315789	0.921053	0.828947
31	0.306667	0.933333	0.866667
32	0.293333	0.893333	0.84
33	0.32	0.933333	0.84
34	0.293333	0.946667	0.826667
35	0.306667	0.946667	0.866667
36	0.310811	0.932432	0.864865
37	0.310811	0.959459	0.824324
38	0.297297	0.918919	0.878378
39	0.310811	0.945946	0.864865
40	0.297297	0.945946	0.824324
41	0.315068	0.931507	0.821918
42	0.315068	0.90411	0.876712
43	0.30137	0.90411	0.876712
44	0.30137	0.849315	0.808219
45	0.277778	0.916667	0.819444
46	0.305556	0.902778	0.861111
47	0.291667	0.888889	0.847222
48	0.309859	0.915493	0.859155
49	0.323944	0.943662	0.887324
50	0.309859	0.929577	0.873239
51	0.323944	0.901408	0.873239
52	0.314286	0.928571	0.885714
53	0.318841	0.913043	0.855072
54	0.279412	0.926471	0.823529
55	0.308824	0.911765	0.867647
56	0.313433	0.955224	0.835821
57	0.328358	0.925373	0.865672
58	0.121212	0.409091	0.257576
59	0.363636	0.636364	0.560606
60	0.265625	0.9375	0.828125
61	0.311475	0.688525	0.557377
62	0.311475	0.721311	0.557377
63	0.316667	0.933333	0.9
64	0.355932	0.711864	0.59322
65	0.103448	0.310345	0.258621
66	0.315789	0.701754	0.578947
67	0.375	0.767857	0.642857
68	0.327273	0.745455	0.618182
69	0.345455	0.8	0.618182
70	0.388889	0.740741	0.555556
71	0.333333	0.777778	0.611111
72	0.283019	0.924528	0.735849
73	0.169811	0.358491	0.245283
74	0.396226	0.811321	0.641509
75	0.415094	0.849057	0.660377
76	0.442308	0.846154	0.711538
77	0.346154	0.807692	0.653846
78	0.384615	0.826923	0.692308
79	0.411765	0.882353	0.72549
80	0.431373	0.882353	0.686275
81	0.352941	0.823529	0.666667
82	0.44	0.84	0.7
83	0.367347	0.938776	0.836735
84	0.306122	0.755102	0.632653
85	0.204082	0.346939	0.204082
86	0.1875	0.4375	0.3125
87	0.375	0.8125	0.729167
88	0.354167	0.875	0.729167
89	0.4375	0.916667	0.770833
90	0.446809	0.914894	0.765957
91	0.152174	0.456522	0.326087
92	0.413043	0.869565	0.695652
93	0.217391	0.369565	0.26087
94	0.136364	0.568182	0.272727
95	0.431818	0.886364	0.704545
96	0.139535	0.534884	0.325581
97	0.418605	0.883721	0.744186
98	0.166667	0.5	0.333333
99	0.146341	0.536585	0.341463
100	0.341463	0.853659	0.731707
101	0.365854	0.95122	0.731707
102	0.175	0.525	0.2
103	0.45	0.925	0.875
104	0.35	0.95	0.725
105	0.25641	0.461538	0.25641
106	0.263158	0.5	0.368421
107	0.394737	0.894737	0.815789
108	0.0810811	0.378378	0.189189
109	0.486486	0.891892	0.756757
110	0.216216	0.486486	0.405405
111	0.216216	0.378378	0.243243
112	0.194444	0.583333	0.416667
113	0.142857	0.542857	0.4
114	0.285714	0.514286	0.4
115	0.314286	0.485714	0.257143
116	0.228571	0.485714	0.371429
117	0.0857143	0.371429	0.257143
118	0.428571	0.571429	0.314286
119	0.441176	0.588235	0.323529
120	0.242424	0.606061	0.30303
121	0.30303	0.515152	0.424242
122	0.09375	0.375	0.125
123	0.1875	0.5	0.4375
124	0.1875	0.5625	0.375
125	0.15625	0.625	0.46875
126	0.1875	0.5625	0.1875
127	0.258065	0.580645	0.483871
128	0.258065	0.645161	0.483871
129	0.266667	0.366667	0.433333
130	0.2	0.6	0.366667
131	0.133333	0.533333	0.433333
132	0.0666667	0.466667	0.166667
133	0.533333	0.6	0.366667
134	0.433333	0.633333	0.466667
135	0.266667	0.6	0.433333
136	0.448276	0.586207	0.517241
137	0.37931	0.586207	0.37931
138	0.37931	0.551724	0.275862
139	0.25	0.857143	0.5
140	0.392857	0.607143	0.5
141	0.518519	0.703704	0.407407
142	0.333333	0.555556	0.555556
143	0.153846	0.538462	0.269231
144	0.423077	0.653846	0.307692
145	0.423077	0.730769	0.461538
146	0.423077	0.692308	0.576923
147	0.4	0.48	0.2
148	0.4	0.56	0.4
149	0.68	0.84	0.76
150	0.36	0.64	0.56
151	0.416667	0.541667	0.416667
152	0.5	0.708333	0.458333
153	0.0833333	0.375	0.208333
154	0.125	0.583333	0.5
155	0.125	0.5	0.291667
156	0.416667	0.708333	0.5
157	0.217391	0.391304	0.347826
158	0.478261	0.695652	0.565217
159	0.347826	0.652174	0.434783
160	0.272727	0.318182	0.181818
161	0.409091	0.772727	0.590909
162	0.318182	0.590909	0.5
163	0.227273	0.636364	0.454545
164	0.0454545	0.318182	0.136364
165	0.5	0.727273	0.681818
166	0.136364	0.409091	0.181818
167	0.318182	0.545455	0.590909
168	0.454545	0.545455	0.227273
169	0.181818	0.909091	0.818182
170	0.590909	0.818182	0.5
171	0.047619	0.52381	0.0952381
172	0.333333	0.619048	0.380952
173	0.047619	0.47619	0.142857
174	0.238095	0.428571	0.380952
175	0.190476	0.857143	1
176	0.380952	0.619048	0.714286
177	0.285714	0.761905	0.571429
178	0.65	0.75	0.75
179	0.25	0.65	0.45
180	0.25	0.4	0.3
181	0.4	0.65	0.55
182	0.5	0.7	0.3
183	0.3	0.55	0.45
184	0.5	0.75	0.65
185	0.2	0.9	0.95
186	0.15	0.95	0.95
187	0.3	0.6	0.4
188	0.2	0.95	1
189	0.4	0.6	0.45
190	0.35	0.85	0.65
191	0.2	0.95	0.95
192	0.473684	0.789474	0.578947
193	0.473684	0.842105	0.684211
194	0.263158	0.736842	0.631579
195	0.315789	0.684211	0.684211
196	0.210526	0.894737	0.947368
197	0.263158	0.368421	0.263158
198	0.105263	0.526316	0.421053
199	0.105263	0.526316	0.263158
200	0.105263	0.842105	0.947368
201	0.578947	0.842105	0.789474
202	0.578947	0.894737	0.631579
203	0.277778	0.555556	0.388889
204	0.666667	0.777778	0.777778
205	0.611111	0.833333	0.611111
206	0.166667	0.5	0.388889
207	0	0.611111	0.111111
208	0.666667	0.888889	0.611111
209	0.166667	0.888889	0.944444
210	0.444444	0.5	0.388889
211	0.333333	0.944444	0.666667
212	0.333333	0.833333	0.611111
213	0.666667	0.833333	0.833333
214	0.166667	0.333333	0.277778
215	0.222222	0.888889	0.944444
216	0.117647	0.647059	0.294118
217	0.117647	0.470588	0.176471
218	0.235294	0.588235	0.235294
219	0.647059	0.882353	0.764706
220	0.235294	0.647059	0.588235
221	0.529412	0.647059	0.529412
222	0.352941	0.470588	0.235294
223	0.352941	0.529412	0.352941
224	0.352941	0.529412	0.529412
225	0.470588	0.705882	0.529412
226	0.647059	0.941176	0.705882
227	0.470588	0.529412	0.411765
228	0.588235	0.941176	0.764706
229	0.352941	0.588235	0.470588
230	0.352941	0.705882	0.705882
231	0.176471	1	0.941176
232	0.375	0.6875	0.5625
233	0.375	0.875	0.6875
234	0.1875	0.6875	0.5
235	0.4375	0.5	0.75
236	0.0625	0.375	0.375
237	0.375	0.75	0.75
238	0.125	0.1875	0.4375
239	0.375	0.5	0.5
240	0.3125	0.5	0.375
241	0.1875	1	1
242	0.1875	0.8125	0.75
243	0.3125	0.75	0.5625
244	0.5625	0.625	0.75
245	0.625	0.8125	0.75
246	0.25	0.25	0.25
247	0.375	0.5625	0.4375
248	0.266667	0.333333	0.2
249	0.533333	0.8	0.333333
250	0.733333	1	0.866667
251	0.133333	0.333333	0.266667
252	0.133333	0.4	0.266667
253	0.6	0.733333	0.6
254	0.6	0.733333	0.333333
255	0.666667	0.8	0.333333
256	0.8	0.933333	1
257	0.266667	0.466667	0.466667
258	0.2	0.533333	0.4
259	0.466667	0.466667	0.466667
260	0.533333	0.6	0.4
261	0.333333	0.666667	0.666667
262	0.142857	0.5	0.142857
263	0.5	0.642857	0.5
264	0.428571	0.714286	0.357143
265	0.214286	0.642857	0.357143
266	0.357143	0.5	0.357143
267	0.642857	0.857143	0.714286
268	0.357143	0.714286	0.642857
269	0.785714	0.928571	0.928571
270	0.785714	0.928571	0.928571
271	0.785714	1	0.857143
272	0.428571	0.571429	0.428571
273	0.428571	0.571429	0.428571
274	0.428571	0.0714286	0.5
275	0.571429	0.571429	0.5
276	0.571429	0.857143	0.357143
277	0.285714	0.571429	0.285714
278	0.5	0.714286	0.642857
279	0.142857	0.642857	0.428571
280	0.142857	0.571429	0.285714
281	0.285714	0.5	0.285714
282	0.538462	0.846154	0.384615
283	0.153846	0.538462	0.615385
284	0.615385	0.923077	0.692308
285	0.461538	0.692308	0.846154
286	0.461538	0.615385	0.846154
287	0.692308	0.846154	0.307692
288	0.692308	0.923077	0.923077
289	0.307692	0.384615	0.230769
290	0.461538	0.769231	0.538462
291	0.384615	0.384615	0.461538
292	0.615385	0.692308	0.307692
293	0.461538	0.846154	0.769231
294	0.384615	0.538462	0.384615
295	0.538462	0.769231	0.769231
296	0.153846	0.461538	0.461538
297	0.538462	0.615385	0.538462
