FBgn0069913	FBgn0069913
FBgn0028707	FBgn0028707
FBgn0023090	FBgn0023090
FBgn0029979	FBgn0029979
FBgn0029979	FBgn0029979
FBgn0043577	FBgn0043577
FBgn0043577	FBgn0043577
FBgn0043577	FBgn0043577
FBgn0023215	FBgn0023215
FBgn0051683	FBgn0051683
FBgn0051683	FBgn0051683
FBgn0011836	FBgn0011836
FBgn0053884	FBgn0053884
FBgn0053884	FBgn0053884
FBgn0053884	FBgn0053884
FBgn0053884	FBgn0053884
FBgn0053884	FBgn0053884
FBgn0027611	FBgn0027611
FBgn0027611	FBgn0027611
FBgn0027611	FBgn0027611
FBgn0035027	FBgn0035027
FBgn0053653	FBgn0053653
FBgn0053653	FBgn0053653
FBgn0034113	FBgn0034113
FBgn0086687	FBgn0086687
FBgn0086687	FBgn0086687
FBgn0037200	FBgn0037200
FBgn0019830	FBgn0019830
FBgn0264962	FBgn0264962
FBgn0031604	FBgn0031604
FBgn0025742	FBgn0025742
FBgn0025742	FBgn0025742
FBgn0025742	FBgn0025742
FBgn0030352	FBgn0030352
FBgn0039930	FBgn0039930
FBgn0052638	FBgn0052638
FBgn0028468	FBgn0028468
FBgn0036838	FBgn0036838
FBgn0036838	FBgn0036838
FBgn0002626	FBgn0002626
FBgn0003189	FBgn0003189
FBgn0037491	FBgn0037491
FBgn0032870	FBgn0032870
FBgn0026313	FBgn0026313
FBgn0026313	FBgn0026313
FBgn0026313	FBgn0026313
FBgn0260222	FBgn0260222
FBgn0031883	FBgn0031883
FBgn0031883	FBgn0031883
FBgn0051140	FBgn0051140
FBgn0039058	FBgn0039058
FBgn0039058	FBgn0039058
FBgn0259139	FBgn0259139
FBgn0259139	FBgn0259139
FBgn0259139	FBgn0259139
FBgn0259139	FBgn0259139
FBgn0259139	FBgn0259139
FBgn0032515	FBgn0032515
FBgn0032515	FBgn0032515
FBgn0035471	FBgn0035471
FBgn0035471	FBgn0035471
FBgn0265011	FBgn0265011
FBgn0265011	FBgn0265011
FBgn0265011	FBgn0265011
FBgn0265011	FBgn0265011
FBgn0265011	FBgn0265011
FBgn0265011	FBgn0265011
FBgn0265011	FBgn0265011
FBgn0265011	FBgn0265011
FBgn0265011	FBgn0265011
FBgn0011818	FBgn0011818
FBgn0033657	FBgn0033657
FBgn0033657	FBgn0033657
FBgn0033657	FBgn0033657
FBgn0033657	FBgn0033657
FBgn0033657	FBgn0033657
FBgn0033657	FBgn0033657
FBgn0033657	FBgn0033657
FBgn0033657	FBgn0033657
FBgn0033657	FBgn0033657
FBgn0033657	FBgn0033657
FBgn0027615	FBgn0027615
FBgn0266375	FBgn0266375
FBgn0266375	FBgn0266375
FBgn0266375	FBgn0266375
FBgn0032512	FBgn0032512
FBgn0011278	FBgn0011278
FBgn0011278	FBgn0011278
FBgn0261647	FBgn0261647
FBgn0261647	FBgn0261647
FBgn0261647	FBgn0261647
FBgn0051721	FBgn0051721
FBgn0051721	FBgn0051721
FBgn0051721	FBgn0051721
FBgn0051721	FBgn0051721
FBgn0051721	FBgn0051721
FBgn0051721	FBgn0051721
FBgn0051721	FBgn0051721
FBgn0051721	FBgn0051721
FBgn0051721	FBgn0051721
FBgn0051721	FBgn0051721
FBgn0051721	FBgn0051721
FBgn0051721	FBgn0051721
FBgn0051721	FBgn0051721
FBgn0051721	FBgn0051721
FBgn0035625	FBgn0035625
FBgn0035625	FBgn0035625
FBgn0261014	FBgn0261014
FBgn0031997	FBgn0031997
FBgn0033062	FBgn0033062
FBgn0034740	FBgn0034740
FBgn0034740	FBgn0034740
FBgn0034740	FBgn0034740
FBgn0035491	FBgn0035491
FBgn0004841	FBgn0004841
FBgn0004841	FBgn0004841
FBgn0004841	FBgn0004841
FBgn0266369	FBgn0266369
FBgn0034791	FBgn0034791
FBgn0034791	FBgn0034791
FBgn0086370	FBgn0086370
FBgn0086370	FBgn0086370
FBgn0086370	FBgn0086370
