P63101	YWHAZ
Q61151	PPP2R5E
Q76MZ3	PPP2R1A
Q6P1F6	PPP2R2A
Q6ZWR4	PPP2R2B
Q8BG02	PPP2R2C
Q99L13	HIBADH
Q02284	HTR1F
Q571I9	ALDH16A1
P12023	APP
Q3UD01	ATXN7L3B
Q60612	ADORA1
Q60613	ADORA2A
Q60614	ADORA2B
Q61618	ADORA3
P63115	SLC7A10
Q9R078	PRKAB1
Q811W1	AARD
Q99K67	AASS
Q99JW1	ABHD17A
Q8R5A3	APBB1IP
P41234	ABCA2
O35600	ABCA4
Q8K441	ABCA6
Q9DC29	ABCB6
Q6P542	ABCF1
Q9DBM0	ABCG8
P51908	APOBEC1
Q99J72	APOBEC3
Q91ZH7	ABHD3
Q9DBL9	ABHD5
Q922Q6	ABHD14A
Q9Z1Q2	ABHD16A
Q8CBW3	ABI1
Q5SWU9	ACACA
P45952	ACADM
Q9D258	ACBD7
Q2XU92	ACSBG2
P68510	YWHAH
P61982	YWHAG
P68254	YWHAQ
Q7TNP2	PPP2R1B
Q925E7	PPP2R2D
Q78JT3	HAAO
Q04841	MPG
Q64264	HTR1A
Q3UKZ7	ARL14EPL
Q60590	ORM1
P07758	SERPINA1A
Q00896	SERPINA1C
Q00897	SERPINA1D
Q19LI2	A1BG
Q6GQT1	A2M
Q3V1N9	A3GALT2
Q3UHJ0	AAK1
Q8BGM7	PRKAG3
P05201	GOT1
Q7M759	ABHD17B
Q497M3	APOBEC4
Q8R0P8	ABHD8
P00520	ABL1
Q80XL6	ACAD11
Q8R4X1	ACER1
O70174	CHRNA4
P09690	CHRNB1
P02716	CHRND
P20782	CHRNE
P24815	HSD3B1
Q61767	HSD3B4
O35469	HSD3B6
P55194	SH3BP1
Q06649	SH3BP2
Q99LH9	SH3BP5L
Q9Z131	SH3BP5
P70445	EIF4EBP2
Q61224	HTR1D
P97288	HTR4
P32304	HTR7
A3KFX0	NT5C1A
Q9D020	NT5C3A
Q3UFY7	NT5C3B
P56379	MP68
Q9DCD0	PGD
Q9CQ60	PGLS
P53368	NUDT1
Q6PAM0	PRKAB2
Q91WG5	PRKAG2
Q9D2V5	AAR2
Q3THG9	AARSD1
Q8VCV1	ABHD17C
Q61102	ABCB7
Q9QY30	ABCB11
P48410	ABCD1
Q64343	ABCG1
Q99PE8	ABCG5
Q99LR1	ABHD12
Q9WV35	APOBEC2
Q8R2Y0	ABHD6
Q6PE15	ABHD10
P62484	ABI2
Q69ZX8	ABLIM3
E9Q4Z2	ACACB
P50544	ACADVL
Q9D061	ACBD6
P21836	ACHE
P04756	CHRNA1
P56485	ACKR3
Q8R519	ACMSD
P13011	SCD2
O55137	ACOT1
Q9QYR7	ACOT3
Q6Q2Z6	ACOT5
Q9R0X4	ACOT9
P62259	YWHAE
Q3UX83	ACCSL
P26149	HSD3B2
P26150	HSD3B3
Q61694	HSD3B5
Q9EQC1	HSD3B7
Q80VV3	EIF4EBP3
Q9EST3	EIF4ENIF1
P10852	SLC3A2
Q9JHJ5	HTR3B
P30966	HTR5A
Q3V1L4	NT5C2
Q61503	NT5E
Q8C0J2	ATG16L1
Q6KAU8	ATG16L2
P41233	ABCA1
Q8R420	ABCA3
Q8K448	ABCA5
Q91V24	ABCA7
Q5SSE9	ABCA13
B5X0E4	ABCB5
P55096	ABCD3
O89016	ABCD4
Q99P81	ABCG3
Q9D7B6	ACAD8
Q07417	ACADS
Q99J27	SLC33A1
Q8R0I0	ACE2
Q8VD53	ACER2
P09470	ACE
Q9ERK7	CHRNB2
Q9Z2N8	ACTL6A
Q9QY84	ACTL7A
Q91V92	ACLY
Q9ERZ4	CHRM2
Q9ERZ3	CHRM3
Q8VHQ9	ACOT11
Q9DBK0	ACOT12
Q8BX37	ACP7
Q9CQV8	YWHAB
Q61247	SERPINF2
Q8R2R3	AAGAB
Q8BRK8	PRKAA2
Q8K442	ABCA8A
Q9JJ59	ABCB9
Q9JI39	ABCB10
P70170	ABCC9
P61222	ABCE1
Q99LE6	ABCF2
Q8C1A9	ABHD18
Q7TQI7	ABTB2
Q8JZN5	ACAD9
P51174	ACADL
P31786	DBI
O54967	TNK2
P32211	CHRM4
Q8BGG9	ACNAT2
Q9CQJ0	THEM5
Q99KI0	ACO2
Q9QYR9	ACOT2
Q9R0H0	ACOX1
Q9EPL9	ACOX3
P37172	ACVR1
Q99JW2	ACY1
Q9R1V4	ADAM11
O88839	ADAM15
P97714	ADRA1D
P30545	ADRA2B
Q8C0T9	ADCY10
P28334	HTR1B
P35363	HTR2A
Q02152	HTR2B
P34968	HTR2C
P23979	HTR3A
P31387	HTR5B
Q9R1C8	HTR6
Q91YE9	NT5C1B
P22599	SERPINA1B
Q00898	SERPINA1E
Q5YD48	A1CF
Q99PG0	AADAC
P58742	AAAS
Q9WVM8	AADAT
O54950	PRKAG1
Q8R0P4	AAMDC
Q5EG47	PRKAA1
Q7TSV6	GOT1L1
Q8VCR7	ABHD14B
Q9QYL7	ABT1
Q8K2H4	ACAP1
Q6ZQK5	ACAP2
Q5XG73	ACBD5
Q99PU5	ACSBG1
Q91X60	CHRNA2
P04760	CHRNG
Q9JIX8	ACIN1
Q924I3	ACKR4
Q99MR0	ACTL6B
Q9QY83	ACTL7B
A2AKK5	ACNAT1
Q8BWN8	ACOT4
P58137	ACOT8
Q9QXD1	ACOX2
Q3V140	ACRBP
Q8VCW8	ACSF2
Q91VA0	ACSM1
Q80W40	ACSM4
P57780	ACTN4
Q61271	ACVR1B
Q9R159	ADAM25
Q811Q4	ADAM29
Q01338	ADRA2A
Q8R2V5	ADAP2
Q8C0I1	AGPS
Q9JHI2	ADAT1
Q8VHH7	ADCY3
Q99KS6	ADPRM
P18762	ADRB2
P48962	SLC25A4
O70456	SFN
A2AIG8	ACCS
Q6PD03	PPP2R5A
Q60996	PPP2R5C
Q63805	ORM3
Q67BJ4	A4GALT
P51912	SLC1A5
Q9D2R0	AACS
Q9D1A0	AAED1
Q9JKX4	AATF
P05202	GOT2
Q8VD66	ABHD4
Q80UX8	ABHD13
Q80YU0	ABHD16B
Q4JIM5	ABL2
Q8K4G5	ABLIM1
Q8BL65	ABLIM2
Q99LJ2	ABTB1
Q8R4G9	CHRNA3
Q8BMN3	CHRNB3
Q920H4	CHRM5
Q9QXG4	ACSS2
Q3URE1	ACSF3
P60710	ACTB
Q8R5C5	ACTR1B
Q8K348	ACVR1C
Q8R3P0	ASPA
Q01337	ADRA2C
Q80SY6	ADAL
Q3TTE0	ADAM5
Q61072	ADAM9
Q6PAT0	ADAT3
P03958	ADA
Q60936	ADCK3
A2A7Z8	AADACL3
Q8BM81	AADACL4
O88444	ADCY1
P00329	ADH1
Q64437	ADH7
Q8R2Z0	FAM132A
Q8R534	ADAM1B
P54923	ADPRH
P97783	MLLT11
O88573	AFF1
O55112	AFF2
Q9ESC8	AFF4
Q920A7	AFG3L1
Q8CJF8	AGO4
Q8VEC3	ADGRF1
E9Q4J9	ADGRF2
G5E8Q8	ADGRF5
Q80TR1	ADGRL1
Q80TS3	ADGRL3
Q923X1	ADGRL4
Q8K3E5	AHI1
P48193	EPB41
Q60876	EIF4EBP1
P12961	SCG5
P07361	ORM2
Q9DCQ7	SERPINA1F
Q8K440	ABCA8B
Q8K449	ABCA9
Q9CXJ4	ABCB8
Q61285	ABCD2
Q8K268	ABCF3
Q7TMS5	ABCG2
Q5F2F2	ABHD15
Q9QZC8	ABHD1
Q9QXM0	ABHD2
Q8K4F5	ABHD11
Q8BYZ1	ABI3
Q4KML4	ABRACL
Q8BUZ1	ABRA
Q5SSL4	ABR
Q9D099	ACER3
Q99NB1	ACSS1
Q80WC9	AASDH
Q9QUJ7	ACSL4
Q91WC3	ACSL6
Q8BFZ3	ACTBL2
Q7TPR4	ACTN1
Q61824	ADAM12
Q9R157	ADAM18
O35674	ADAM19
Q9R1V6	ADAM22
Q9R1V7	ADAM23
Q9JLN6	ADAM28
Q6NSR3	ADCK2
Q80V03	ADCK5
Q80TL1	ADCY2
Q91WF3	ADCY4
P97490	ADCY8
Q9QYY9	ADH4
Q9CQF6	AASDHPPT
Q8BQS5	ADIPOR2
P34971	ADRB1
O54826	MLLT10
Q8BZI0	AFAP1L1
Q5DTU0	AFAP1L2
Q80T32	ADGRD1
Q61549	ADGRE1
Q58Y75	ADGRF3
Q9D2L6	ADGRF4
Q8CJ12	ADGRG2
Q3UEG6	AGXT2
P35374	AGTR2
P29754	AGTR1A
Q91WR5	AKR1C21
O08715	AKAP1
O88987	AKAP3
Q9R0L7	AKAP8L
Q8BIX3	ARL14EP
Q9CZS1	ALDH1B1
Q8R0Y6	ALDH1L1
Q8K009	ALDH1L2
Q8CHT0	ALDH4A1
Q8K370	ACAD10
Q9DBL1	ACADSB
Q5EE38	ACD
Q2MKA5	CHRNA5
Q9R0W9	CHRNA6
P49582	CHRNA7
Q8R493	CHRNB4
Q9QUI6	ACKR1
O08707	ACKR2
Q9DBS4	ACOXL
Q9CR21	NDUFAB1
Q8BGA8	ACSM5
Q14DH7	ACSS3
P68033	ACTC1
P63260	ACTG1
Q64326	MC2R
Q9JI91	ACTN2
O88990	ACTN3
P56376	ACYP1
Q9JI76	ADAM21
Q9R160	ADAM24
Q6P6J0	ADAT2
Q9D0L4	ADCK1
Q566J8	ADCK4
P84309	ADCY5
Q01341	ADCY6
P51829	ADCY7
Q7TNK8	ADM2
Q8CHC8	ADNP2
Q9Z103	ADNP
Q9JKV1	ADRM1
Q61578	FDXR
Q9QZQ1	MLLT4
Q80YS6	AFAP1
P51827	AFF3
Q3UGP8	ALG10B
Q9ESW4	AGK
Q8CJG1	AGO1
Q91ZV8	ADGRA2
Q80ZF8	ADGRB3
Q8BM96	ADGRG7
A2ASQ1	AGRN
Q8JZZ7	ADGRL2
P56473	AGRP
P29755	AGTR1B
Q3U1U7	AHRR
Q8R4S5	AHR
A2ALI5	AJAP1
Q91XC0	AJUBA
Q8VCX1	AKR1D1
O88845	AKAP10
Q9WTQ5	AKAP12
Q7TN79	AKAP7
O54931	AKAP2
D3YVF0	AKAP5
Q9JHX6	ALLC
O35936	ALOX8
Q91ZB0	ALPK2
A2AKE7	ACTL10
P12657	CHRM1
Q32MW3	ACOT10
Q9CQR4	ACOT13
P28271	ACO1
P13516	SCD1
Q32Q92	ACOT6
Q61288	ACVRL1
Q91XE4	ACY3
Q9R158	ADAM26A
O35598	ADAM10
Q9Z0F8	ADAM17
P97718	ADRA1A
P97717	ADRA1B
Q8K410	ADAM32
Q923W9	ADAM33
Q5SUE7	ADAD1
Q9D5P4	ADAD2
Q9QYC0	ADD1
Q8R400	ADIG
Q60813	ADAM1A
P97297	ADM
