ENSG00000151575	FBgn0069913
ENSG00000107614	FBgn0028707
ENSG00000154099	FBgn0023090
ENSG00000108654	FBgn0029979
ENSG00000100201	FBgn0029979
ENSG00000159527	FBgn0043577
ENSG00000008438	FBgn0043577
ENSG00000163218	FBgn0043577
ENSG00000070444	FBgn0023215
ENSG00000103066	FBgn0051683
ENSG00000213398	FBgn0051683
ENSG00000064313	FBgn0011836
ENSG00000274290	FBgn0053884
ENSG00000123569	FBgn0053884
ENSG00000101812	FBgn0053884
ENSG00000277224	FBgn0053884
ENSG00000180596	FBgn0053884
ENSG00000269242	FBgn0027611
ENSG00000104774	FBgn0027611
ENSG00000269590	FBgn0027611
ENSG00000113593	FBgn0035027
ENSG00000163618	FBgn0053653
ENSG00000081803	FBgn0053653
ENSG00000005700	FBgn0034113
ENSG00000145284	FBgn0086687
ENSG00000099194	FBgn0086687
ENSG00000241058	FBgn0037200
ENSG00000178537	FBgn0019830
ENSG00000165494	FBgn0264962
ENSG00000134014	FBgn0031604
ENSG00000087053	FBgn0025742
ENSG00000171100	FBgn0025742
ENSG00000063601	FBgn0025742
ENSG00000156170	FBgn0030352
ENSG00000115204	FBgn0039930
ENSG00000177674	FBgn0052638
ENSG00000109736	FBgn0028468
ENSG00000099899	FBgn0036838
ENSG00000188917	FBgn0036838
ENSG00000144713	FBgn0002626
ENSG00000084774	FBgn0003189
ENSG00000115661	FBgn0037491
ENSG00000091640	FBgn0032870
ENSG00000107282	FBgn0026313
ENSG00000011132	FBgn0026313
ENSG00000034053	FBgn0026313
ENSG00000240230	FBgn0260222
ENSG00000100461	FBgn0031883
ENSG00000131051	FBgn0031883
ENSG00000145214	FBgn0051140
ENSG00000159720	FBgn0039058
ENSG00000147614	FBgn0039058
ENSG00000169045	FBgn0259139
ENSG00000169813	FBgn0259139
ENSG00000126945	FBgn0259139
ENSG00000096746	FBgn0259139
ENSG00000132463	FBgn0259139
ENSG00000180228	FBgn0032515
ENSG00000139546	FBgn0032515
ENSG00000099797	FBgn0035471
ENSG00000205678	FBgn0035471
ENSG00000186452	FBgn0265011
ENSG00000145244	FBgn0265011
ENSG00000178297	FBgn0265011
ENSG00000100312	FBgn0265011
ENSG00000187045	FBgn0265011
ENSG00000237412	FBgn0265011
ENSG00000178226	FBgn0265011
ENSG00000176040	FBgn0265011
ENSG00000149418	FBgn0265011
ENSG00000184232	FBgn0011818
ENSG00000100156	FBgn0033657
ENSG00000170190	FBgn0033657
ENSG00000108932	FBgn0033657
ENSG00000174327	FBgn0033657
ENSG00000152779	FBgn0033657
ENSG00000141526	FBgn0033657
ENSG00000174326	FBgn0033657
ENSG00000118596	FBgn0033657
ENSG00000168679	FBgn0033657
ENSG00000155380	FBgn0033657
ENSG00000155463	FBgn0027615
ENSG00000137825	FBgn0266375
ENSG00000086544	FBgn0266375
ENSG00000143772	FBgn0266375
ENSG00000145734	FBgn0032512
ENSG00000138136	FBgn0011278
ENSG00000179528	FBgn0011278
ENSG00000144655	FBgn0261647
ENSG00000110925	FBgn0261647
ENSG00000178662	FBgn0261647
ENSG00000213186	FBgn0051721
ENSG00000080561	FBgn0051721
ENSG00000100505	FBgn0051721
ENSG00000119283	FBgn0051721
ENSG00000101871	FBgn0051721
ENSG00000147573	FBgn0051721
ENSG00000158022	FBgn0051721
ENSG00000106701	FBgn0051721
ENSG00000248710	FBgn0051721
ENSG00000152503	FBgn0051721
ENSG00000163462	FBgn0051721
ENSG00000204977	FBgn0051721
ENSG00000105255	FBgn0051721
ENSG00000138100	FBgn0051721
ENSG00000057657	FBgn0035625
ENSG00000176083	FBgn0035625
ENSG00000165280	FBgn0261014
ENSG00000154889	FBgn0031997
ENSG00000087087	FBgn0033062
ENSG00000121774	FBgn0034740
ENSG00000112232	FBgn0034740
ENSG00000131773	FBgn0034740
ENSG00000162961	FBgn0035491
ENSG00000169836	FBgn0004841
ENSG00000115353	FBgn0004841
ENSG00000075073	FBgn0004841
ENSG00000138823	FBgn0266369
ENSG00000131148	FBgn0034791
ENSG00000100908	FBgn0034791
ENSG00000172348	FBgn0086370
ENSG00000117602	FBgn0086370
ENSG00000159200	FBgn0086370
ENSG00000143515	FBgn0037989
ENSG00000104043	FBgn0037989
ENSG00000180801	FBgn0036765
ENSG00000183876	FBgn0036765
ENSG00000113273	FBgn0036765
ENSG00000169359	FBgn0036662
ENSG00000154229	FBgn0003091
ENSG00000126583	FBgn0003091
ENSG00000166501	FBgn0003091
ENSG00000080189	FBgn0035449
ENSG00000186184	FBgn0086447
ENSG00000261594	FBgn0031016
ENSG00000146242	FBgn0031016
ENSG00000257218	FBgn0064115
ENSG00000111780	FBgn0064115
ENSG00000076043	FBgn0039115
ENSG00000113712	FBgn0030384
ENSG00000180138	FBgn0030384
ENSG00000094916	FBgn0039019
ENSG00000108468	FBgn0039019
ENSG00000122565	FBgn0039019
ENSG00000119314	FBgn0011224
ENSG00000117569	FBgn0011224
ENSG00000011304	FBgn0011224
ENSG00000047621	FBgn0039589
ENSG00000165125	FBgn0036414
ENSG00000187688	FBgn0036414
ENSG00000127412	FBgn0036414
ENSG00000196689	FBgn0036414
ENSG00000167723	FBgn0036414
ENSG00000111199	FBgn0036414
ENSG00000130349	FBgn0039565
ENSG00000105722	FBgn0005660
ENSG00000253831	FBgn0005660
ENSG00000117036	FBgn0005660
ENSG00000134900	FBgn0020370
ENSG00000137818	FBgn0002593
ENSG00000186732	FBgn0036028
ENSG00000066382	FBgn0036028
ENSG00000055609	FBgn0023518
ENSG00000167548	FBgn0023518
ENSG00000164022	FBgn0033351
ENSG00000101222	FBgn0030722
ENSG00000177888	FBgn0033569
ENSG00000139641	FBgn0266758
ENSG00000158220	FBgn0266758
ENSG00000117868	FBgn0266758
ENSG00000132432	FBgn0034510
ENSG00000099219	FBgn0053012
ENSG00000160179	FBgn0032167
ENSG00000172350	FBgn0032167
ENSG00000189058	FBgn0033799
ENSG00000169271	FBgn0001223
ENSG00000152137	FBgn0001223
ENSG00000254445	FBgn0001223
ENSG00000170276	FBgn0001223
ENSG00000106211	FBgn0001223
ENSG00000119640	FBgn0038363
ENSG00000197375	FBgn0033778
ENSG00000004809	FBgn0033778
ENSG00000163393	FBgn0033778
ENSG00000175003	FBgn0033778
ENSG00000146477	FBgn0033778
ENSG00000112499	FBgn0033778
ENSG00000197208	FBgn0033778
ENSG00000139531	FBgn0030966
ENSG00000101193	FBgn0034218
ENSG00000121274	FBgn0030049
ENSG00000112941	FBgn0030049
ENSG00000135469	FBgn0033086
ENSG00000115520	FBgn0033086
ENSG00000232434	FBgn0261802
ENSG00000163798	FBgn0038640
ENSG00000184056	FBgn0039335
ENSG00000103254	FBgn0038871
ENSG00000150756	FBgn0038871
ENSG00000009307	FBgn0263352
ENSG00000162409	FBgn0023169
ENSG00000132356	FBgn0023169
ENSG00000004478	FBgn0029174
ENSG00000096060	FBgn0029174
ENSG00000214517	FBgn0035951
ENSG00000197563	FBgn0039010
ENSG00000141376	FBgn0266019
ENSG00000182333	FBgn0051872
ENSG00000173239	FBgn0051872
ENSG00000204021	FBgn0051872
ENSG00000107798	FBgn0051872
ENSG00000204022	FBgn0051872
ENSG00000204020	FBgn0051872
ENSG00000175324	FBgn0261067
ENSG00000157315	FBgn0061492
