ENSG00000198888	MT-ND1
ENSG00000198763	MT-ND2
ENSG00000198804	MT-CO1
ENSG00000198712	MT-CO2
ENSG00000228253	MT-ATP8
ENSG00000198899	MT-ATP6
ENSG00000198938	MT-CO3
ENSG00000198840	MT-ND3
ENSG00000212907	MT-ND4L
ENSG00000198886	MT-ND4
ENSG00000198786	GM4076
ENSG00000198786	MT-ND5
ENSG00000198695	MT-ND6
ENSG00000198727	MT-CYTB
ENSG00000186132	3110009E18RIK
ENSG00000182584	ACTL10
ENSG00000174799	CEP135
ENSG00000116691	MIIP
ENSG00000149609	1700003F12RIK
ENSG00000110104	CCDC86
ENSG00000268163	1700020N01RIK
ENSG00000121236	TRIM6
ENSG00000140807	NKD1
ENSG00000163938	GNL3
ENSG00000163645	ERICH6
ENSG00000100926	TM9SF1
ENSG00000114107	CEP70
ENSG00000144908	ALDH1L1
ENSG00000168917	SLC35G2
ENSG00000103404	USP31
ENSG00000258941	CTAGE5
ENSG00000107779	BMPR1A
ENSG00000102265	TIMP1
ENSG00000150977	RILPL2
ENSG00000171421	MRPL36
ENSG00000147604	RPL7
ENSG00000110324	IL10RA
ENSG00000061676	NCKAP1
ENSG00000132781	MUTYH
ENSG00000174226	SNX31
ENSG00000175497	DPP10
ENSG00000109079	TNFAIP1
ENSG00000187258	NPSR1
ENSG00000138750	NUP54
ENSG00000211785	TRAV7D-5
ENSG00000211785	TRAV7D-2
ENSG00000211785	TRAV7-3
ENSG00000211785	TRAV7-4
ENSG00000211785	TRAV7N-6
ENSG00000211785	TRAV7-6
ENSG00000211785	TRAV7D-3
ENSG00000211785	TRAV7-1
ENSG00000211785	TRAV7-2
ENSG00000211785	TRAV7-5
ENSG00000211785	C920008G01RIK
ENSG00000211785	TRAV7D-4
ENSG00000211785	TRAV7N-4
ENSG00000211785	TRAV7N-5
ENSG00000148357	HMCN2
ENSG00000164796	CSMD3
ENSG00000278259	MYO19
ENSG00000187736	NHEJ1
ENSG00000148832	PAOX
ENSG00000102181	CD99L2
ENSG00000241973	PI4KA
ENSG00000149179	1110051M20RIK
ENSG00000171984	1110034G24RIK
ENSG00000154309	DISP1
ENSG00000214107	MAGEB4
ENSG00000165280	VCP
ENSG00000143379	SETDB1
ENSG00000269881	FAM234A
ENSG00000109184	DCUN1D4
ENSG00000168389	MFSD2A
ENSG00000144554	FANCD2
ENSG00000171786	NHLH1
ENSG00000169862	CTNND2
ENSG00000158869	FCER1G
ENSG00000158473	CD1D2
ENSG00000158473	CD1D1
ENSG00000162576	MXRA8
ENSG00000197165	SULT1A1
